Exact_X,Exact_Y,Ehrenfest_X,Ehrenfest_Y,CTMQC_X,CTMQC_Y
440.08682546926,0.0011396672325977297,1060.6500739743215,0.07211382003395606,8.822998978167561,0.0011396672325976187
495.5114443864336,0.0016989881154499953,1079.968066764949,0.07436696774193563,401.5216648101846,0.0002907707979626917
524.4421515546437,0.002688706281833597,1094.4511073791518,0.07577518505942293,449.7077208149931,0.00029870288624800345
538.9131626948483,0.0034757215619696247,1108.931421003973,0.07704258064516145,490.6917326298426,0.0016410730050934186
553.383689878603,0.004237745331069798,1123.406280650027,0.07802833276740251,555.7595793787204,0.002512679117147809
577.5148189305874,0.006209249575551912,1137.8893212642306,0.07943655008488981,584.7222518703993,0.005153086587436406
591.995132555408,0.0074766451612904294,1152.3778158572013,0.08112641086587447,608.8642888799168,0.007687877758913553
606.4918081165283,0.00958897113752133,1166.8799453970869,0.08352038030560294,670.9360212204383,0.019728135823429693
633.0643954029397,0.01322137860780992,1181.3848019263569,0.08605517147707997,708.042165757714,0.028177439728353293
674.148414713854,0.019728135823429693,1195.8896584556269,0.08858996264855712,722.547022286984,0.03071223089983033
708.0039879063493,0.026205935483871068,1210.4054229424282,0.09168804074702908,757.9651603960556,0.03493688285229213
761.2266396983687,0.037471674023769275,1224.9020985035486,0.09380036672325998,785.3414068140537,0.03859824787775912
848.255778873986,0.05268042105263171,1239.404228043435,0.09619433616298834,823.9564675913562,0.042023986417657144
874.815291971714,0.05563767741935499,1253.9090845727042,0.09872912733446537,869.8085394641494,0.045920977928692874
891.7376245891955,0.058594933786078274,1268.4139411019742,0.10126391850594252,901.1539189294044,0.04718837351443139
911.04470942229,0.06028479456706293,1282.9187976312442,0.10379870967741955,925.2059652892758,0.04507604753820049
925.5386579940268,0.06225629881154515,1297.41274620298,0.10577021392190178,950.4626592091781,0.04296372156196959
949.6943299504601,0.0654951986417659,1311.8957868171847,0.10717843123938897,973.3525990433973,0.04304821460101882
964.2100944372623,0.06859327674023785,1326.3761004420048,0.1084458268251276,992.2625484778382,0.04981400339558595
978.7149509665323,0.071128067911715,1340.8536870774424,0.10957240067911744,1016.1942385510765,0.05737447877758939
993.2061725488857,0.07295875042444844,1355.336727691646,0.11098061799660464,1030.5802153869217,0.06113032258064521
1007.7382989719863,0.07690175891341267,1369.8170413164662,0.11224801358234315,1050.8443655501915,0.06341103701188477
1022.2595174375556,0.0802814804753822,1384.2973549412873,0.11351540916808167,1076.089606114684,0.060707259762309174
1036.786189881891,0.08394284550084907,1398.7694875979587,0.11436033955857405,1098.8961000737763,0.056482607809847374
1051.3237702837587,0.08816749745331087,1413.2416202546292,0.11520526994906644,1122.9628721763174,0.05513071918505952
1065.8613506856273,0.09239214940577267,1427.6973909750013,0.11520526994906644,1147.135996864804,0.05927087809847209
1080.4071120556446,0.09703926655348072,1442.1531616953735,0.11520526994906644,1169.7105603768541,0.06380533786078113
1094.958327404428,0.10196802716468611,1456.6034784369785,0.11492362648556897,1200.3114717404942,0.06810040067911727
1109.493180816913,0.10605185738539913,1471.0592491573507,0.11492362648556897,1230.5012894546153,0.07190258743633293
1124.0362151975469,0.1105581528013585,1485.5095658989558,0.11464198302207151,1255.0598740924179,0.07521189813242801
1136.1604099952792,0.11457157215619718,1504.7784728806855,0.11436033955857405,1275.1836922457815,0.07760586757215637
1153.1168299800502,0.11928910016977956,1519.2424245692064,0.1147828047538203,1299.2684624782514,0.07718340237691024
1167.6407754350012,0.12280964346349765,1533.6981952895785,0.1147828047538203,1349.896383872152,0.07887326315789489
1182.1729018581036,0.126752651952462,1548.1539660099497,0.1147828047538203,1383.6101536167198,0.07802833276740251
1196.699574302439,0.13041401697792898,1562.6097367303219,0.1147828047538203,1405.2815382450526,0.07739463497453325
1211.2017038423246,0.13280798641765734,1577.065507450694,0.1147828047538203,1429.345856057149,0.07591600679117161
1225.6929254246788,0.13463866893039078,1591.5130972029156,0.11436033955857405,1459.421140217176,0.07380368081494071
1240.1814200176486,0.13632852971137543,1605.9688679232877,0.11436033955857405,1486.2976658307016,0.07239546349745352
1259.4857778613605,0.13787756876061152,1620.4246386436598,0.11436033955857405,1516.788134124322,0.07098724617996621
1273.9551835286475,0.138581677419355,1634.880409364031,0.11436033955857405,1547.2655128689012,0.06890308455008509
1288.4164082277857,0.13886332088285258,1649.3361800844032,0.11436033955857405,1576.1246961134884,0.06619930730050949
1302.8694519587743,0.1387224991511039,1663.7919508047753,0.11436033955857405,1595.3608792226187,0.06422780305602727
1317.3143147216133,0.13815921222410887,1678.2531755039126,0.11464198302207151,1625.4293459091868,0.06176342275042457
1329.3539728484657,0.13780715789473708,1692.7116732136683,0.11478280475382041,1657.8934727689011,0.058594933786078274
1355.803042876174,0.13506113412563692,1707.1619899552743,0.11450116129032284,1691.558156704572,0.05521521222410897
1365.423861420123,0.13421620373514453,1721.615033686262,0.11436033955857416,1715.618384032594,0.0535253514431242
1384.6464095823376,0.13154059083191882,1736.0708044066341,0.11436033955857416,1744.46120534088,0.04997664380305622
1399.0776373982608,0.1302731952461802,1750.5265751270063,0.11436033955857416,1768.521432668901,0.04828678302207157
1413.4734143522019,0.12717511714770824,1764.9823458473775,0.11436033955857416,1787.7172563351605,0.04423111714770822
1427.8773722742926,0.12449950424448242,1779.4381165677496,0.11436033955857416,1829.8144731910488,0.0408513955857388
1439.8829430338546,0.12238717826825152,1793.8938872881208,0.11436033955857416,1855.0526235831449,0.037781481833616626
1468.7044938249528,0.11774006112054347,1808.349658008493,0.11436033955857416,1879.0888534045944,0.03485238981324301
